SUBSCRIBER_ID#,ACCOUNT_ID#,CUSTOMER_ID#,GROUP_ID#,NAME,SUBSCRIBER_STATUS,STATUS_DATE,GENDER,BIRTHDATE,ID_TYPE,NATIONALITY,ACTIVATION_DATE,CUSTOMER_CLASS,SUBSCRIBER_TYPE,SUBSCRIPTION_PLAN_FAMILY_ID#,SUBSCRIPTION_PLAN_ID#,SERVICE_NUMBER#
2207712503,1.11452E+17,1107671773,,ليلى العتيبي,Active,1/17/2019,female,8/4/1994,ID Card,Egyptian,00:00.0,B+,Resedential,709008,819049,572142322
2206313482,1.1113E+17,1106271161,,شهد القحطاني,Active,1/9/2018,female,1/10/1990,ID Card,Egyptian,00:00.0,B+,Resedential,709008,819049,882537382
132691373,1.0767E+17,1.01101E+15,,ليلى العراقي,Active,2/9/2025,female,4/21/1993,ID Card,Egyptian,08:23.0,C,Resedential,709008,460465743,403322991
56271964,1.1648E+17,1.01101E+15,,أحمد القحطاني,Active,6/26/2020,male,10/3/1999,ID Card,Egyptian,32:31.0,A,Resedential,709009,819053,34240689
54677049,1.1451E+17,1107079372,2.01991E+16,خالد السبيعي,Active,1/15/2025,male,5/12/1989,ID Card,Egyptian,09:32.0,C+,Resedential,460473729,460473731,228514117
2207014781,1.11092E+17,1106972857,,جميلة الأنصاري,Active,7/11/2018,female,3/26/2000,ID Card,Egyptian,00:00.0,B,Resedential,709008,819049,552341409
89098911,1.2547E+17,11044843765,,محمود العتيبي,Active,9/4/2023,male,9/10/1998,ID Card,Egyptian,30:32.0,B+,Resedential,709008,819049,402634165
130988079,1.0195E+17,1.01101E+15,,سلمان الهاشمي,Active,1/3/2025,male,2/2/1996,ID Card,Egyptian,53:14.0,B+,Resedential,709009,819053,482096453
58978491,1.0738E+17,1.01101E+15,,رنا القحطاني,Active,6/6/2020,female,1/1/1991,ID Card,Egyptian,01:46.0,B,Resedential,709009,819053,227471696
2203414628,1.1241E+17,1103370679,2.01991E+16,طارق العراقي,Active,4/14/2025,male,4/4/1988,ID Card,Egyptian,00:00.0,A,Resedential,460473729,460473731,572079474
2201461283,1.12262E+17,1101416470,,فاطمة الكردي,Active,3/6/2012,female,7/24/1979,Passport,Egyptian,00:00.0,A,Resedential,709008,819052,34048119
59983100,1.041E+17,11011336568,,مها الهلالي,Active,7/8/2020,female,7/15/1988,ID Card,Egyptian,01:40.0,B+,Resedential,709008,819049,228518223
2204872947,1.15102E+17,1104829931,,سلمان الشريف,Active,11/14/2016,male,8/6/1994,ID Card,Egyptian,00:00.0,B+,Resedential,709010,819059,404763453
55451050,1.0389E+17,1.01101E+15,,مها العابد,Active,10/8/2022,female,3/1/1990,ID Card,Egyptian,02:16.0,B+,Resedential,709008,819049,403127491
53152237,1.0606E+17,1.01101E+15,,فاطمة المصري,Active,11/3/2019,female,7/20/1963,ID Card,Egyptian,45:08.0,B,Resedential,709008,819049,884703252
